name,rows,cols,quad_nnz,igaos_status,igaos_obj,igaos_pinf,osqp_status,osqp_obj,osqp_violation,rel_diff,igaos_time,osqp_time,verdict
POWELL20,10000,10000,10000,numerical_error,0.0,10000.0,primal infeasible inaccurate,,,,0.3293,19.99422574043274,status differs (numerical_error / primal infeasible inaccurate)
PRIMAL1,85,325,324,optimal,-0.0350129656932,0.0,optimal,-0.03501296573347734,4.85722573273506e-17,3.891482067716608e-11,0.0071,0.003542184829711914,agree
PRIMAL2,96,649,648,optimal,-0.033733676084,0.0,optimal,-0.03373367612271853,5.551115123125783e-17,3.7455032449619864e-11,0.0089,0.003652334213256836,agree
PRIMAL3,111,745,744,optimal,-0.135755832043,0.0,optimal,-0.13575583686602102,2.498001805406602e-16,4.246529803144835e-09,0.0248,0.01520538330078125,agree
PRIMAL4,75,1489,1488,optimal,-0.746090707717,0.0,optimal,-0.7460908418021001,7.771561172376096e-16,7.679159457976468e-08,0.0195,0.01669621467590332,agree
PRIMALC1,9,230,229,optimal,-6155.25082281,0.0,dual infeasible,,,,0.0018,0.003961801528930664,status differs (optimal / dual infeasible)
PRIMALC2,7,231,230,optimal,-3551.3076661,0.0,dual infeasible,,,,0.0018,0.0033998489379882812,status differs (optimal / dual infeasible)
PRIMALC5,8,287,286,optimal,-427.232326722,0.0,dual infeasible,,,,0.0032,0.0007193088531494141,status differs (optimal / dual infeasible)
PRIMALC8,8,520,519,optimal,-18309.4297901,3.636e-06,dual infeasible,,,,0.0053,0.12910985946655273,status differs (optimal / dual infeasible)
Q25FV47,820,1571,118552,numerical_error,103058.73876,575.0,run time limit reached,,,,1.8144,19.984670639038086,status differs (numerical_error / run time limit reached)
QADLITTL,56,97,157,optimal,480318.858584,1.44e-08,optimal,480318.85845953086,5.933414080249059e-07,2.591379603023263e-10,0.0012,0.006839275360107422,agree
QAFIRO,27,32,9,optimal,-1.5907816876,1.208e-13,optimal,-1.5907817942966764,5.366335154022295e-11,4.118319675468153e-08,0.0003,0.00040078163146972656,agree
QBANDM,305,472,57,optimal,16352.3424715,7.719e-07,optimal,16352.342090273953,6.614249286188185e-06,2.3311812677897514e-08,0.0119,5.845804691314697,agree
QBEACONF,173,262,36,optimal,164712.060173,1.226e-10,optimal,164712.06025918474,2.6762446975531506e-08,5.232416691090094e-10,0.0029,0.08670973777770996,agree
QBORE3D,233,315,128,optimal,3100.20080126,2.115e-08,maximum iterations reached,,,,0.0011,3.7077064514160156,status differs (optimal / maximum iterations reached)
QBRANDY,220,249,114,numerical_error,662.76,240.0,optimal,28375.114857363566,2.9947261502801054e-06,,0.0173,1.4870383739471436,status differs (numerical_error / optimal)
QCAPRI,271,353,1732,numerical_error,162555.605048,2846.0,maximum iterations reached,,,,0.0683,5.101095199584961,status differs (numerical_error / maximum iterations reached)
QE226,223,282,1861,optimal,212.653433328,3.024e-10,maximum iterations reached,,,,0.0065,5.717383861541748,status differs (optimal / maximum iterations reached)
QETAMACR,400,688,8516,optimal,86760.4119582,6.651e-08,run time limit reached,,,,0.0561,19.996467351913452,status differs (optimal / run time limit reached)
QFFFFF80,524,854,3554,numerical_error,0.0,225900.0,optimal,873147.4521258399,0.0004869878900706226,,0.1792,18.534503936767578,status differs (numerical_error / optimal)
QFORPLAN,161,421,1128,optimal,7456631460.08,4.101e-07,maximum iterations reached,,,,0.0145,5.751174688339233,status differs (optimal / maximum iterations reached)
QGFRDXPN,616,1092,270,optimal,100790586805.0,8.604e-07,maximum iterations reached,,,,0.0108,8.02008867263794,status differs (optimal / maximum iterations reached)
QGROW15,300,645,962,optimal,-101693640.468,6.112e-10,maximum iterations reached,,,,0.0324,10.280428647994995,status differs (optimal / maximum iterations reached)
QGROW22,440,946,1639,optimal,-149628953.471,4.657e-10,maximum iterations reached,,,,0.0662,15.126367092132568,status differs (optimal / maximum iterations reached)
QGROW7,140,301,684,optimal,-42798713.8725,6.548e-10,maximum iterations reached,,,,0.021,4.329232931137085,status differs (optimal / maximum iterations reached)
QISRAEL,174,142,1354,optimal,25347837.7896,0.0,optimal,25347837.789444372,7.653594982448553e-05,6.139684286352379e-12,0.0085,1.131443738937378,agree
QPCBLEND,74,83,83,optimal,-0.00784250525413,1.495e-11,optimal,-0.00784254316201665,2.0654471188930046e-11,3.7612905813589466e-08,0.0012,0.006943702697753906,agree
QPCBOEI1,351,384,384,numerical_error,41.6385,2656.0,optimal,11503913.986821435,3.917031831197605e-06,,0.0281,0.49100494384765625,status differs (numerical_error / optimal)
QPCBOEI2,166,143,143,numerical_error,0.0,9431.0,primal infeasible,,,,0.0117,0.28793907165527344,status differs (numerical_error / primal infeasible)
QPCSTAIR,356,467,467,numerical_error,204468.219287,208.8,optimal,6204387.475512219,4.736389058734858e-09,,0.086,0.11377429962158203,status differs (numerical_error / optimal)
QPILOTNO,975,2172,876,numerical_error,3177765.67704,101300.0,run time limit reached,,,,0.1011,19.993563175201416,status differs (numerical_error / run time limit reached)
QPTEST,2,2,4,optimal,4.37187500005,0.0,optimal,4.371874999999999,0.0,9.30790316517757e-12,0.0001,6.461143493652344e-05,agree
QRECIPE,91,180,80,optimal,-266.6153603,7.759e-11,optimal,-266.61599993012925,1.6980123973553418e-09,2.3901042142301143e-06,0.002,0.002134084701538086,OBJECTIVE MISMATCH
QSC205,205,203,31,numerical_error,0.0,0.0,optimal,-0.005813953158228562,2.5731246994231682e-11,,0.0029,0.0019843578338623047,status differs (numerical_error / optimal)
QSCAGR25,471,500,228,optimal,201737938.371,3.638e-12,maximum iterations reached,,,,0.0048,4.273128986358643,status differs (optimal / maximum iterations reached)
QSCAGR7,129,140,42,optimal,26865948.6009,1.4e-06,maximum iterations reached,,,,0.0016,1.124629259109497,status differs (optimal / maximum iterations reached)
QSCFXM1,330,457,1410,numerical_error,0.0,1050.0,maximum iterations reached,,,,0.0343,6.02698278427124,status differs (numerical_error / maximum iterations reached)
QSCFXM2,660,914,2188,optimal,27776161.6121,5.547e-09,maximum iterations reached,,,,0.0327,12.915154695510864,status differs (optimal / maximum iterations reached)
QSCFXM3,990,1371,2353,optimal,30816354.9075,4.437e-08,run time limit reached,,,,0.0478,19.99812340736389,status differs (optimal / run time limit reached)
QSCORPIO,388,358,58,numerical_error,0.0,0.68,maximum iterations reached,,,,0.0096,3.212637424468994,status differs (numerical_error / maximum iterations reached)
QSCRS8,490,1169,209,optimal,904.560057406,7.046e-11,maximum iterations reached,,,,0.0195,10.686331748962402,status differs (optimal / maximum iterations reached)
QSCSD1,77,760,1436,optimal,8.66666667661,1.071e-14,optimal,8.666666675401304,1.753704146449713e-09,1.2503745154398132e-10,0.0035,0.038332223892211914,agree
QSCSD6,147,1350,2712,optimal,50.8082139021,9.826e-15,optimal,50.80821390046458,2.166028510812918e-09,3.1566822413608997e-11,0.008,0.6908862590789795,agree
QSCSD8,397,2750,4880,optimal,940.763574219,1.362e-13,optimal,940.7635740118932,2.195727531641213e-08,2.1991383218100747e-10,0.0186,0.16086149215698242,agree
QSCTAP1,300,480,270,optimal,1415.86111114,4.392e-13,maximum iterations reached,,,,0.0049,4.602630138397217,status differs (optimal / maximum iterations reached)
QSCTAP2,1090,1880,1413,optimal,1735.02649783,9.703e-14,run time limit reached,,,,0.0191,19.997990608215332,status differs (optimal / run time limit reached)
QSCTAP3,1480,2480,1908,optimal,1438.75468737,8.153e-13,run time limit reached,,,,0.0284,19.997421503067017,status differs (optimal / run time limit reached)
QSEBA,515,1028,1196,numerical_error,0.0,90.0,optimal,81481800.19444287,4.5254543223904875e-08,,0.0414,7.3079893589019775,status differs (numerical_error / optimal)
QSHARE1B,117,225,60,numerical_error,0.0,43570.0,maximum iterations reached,,,,0.0211,2.241297721862793,status differs (numerical_error / maximum iterations reached)
QSHARE2B,96,79,100,optimal,11703.6917227,2.033e-10,maximum iterations reached,,,,0.0022,1.3637819290161133,status differs (optimal / maximum iterations reached)
QSHELL,536,1775,69175,numerical_error,49562289580.0,284300.0,optimal,1572636842890.7212,0.00015909939331677078,,0.0948,1.0680360794067383,status differs (numerical_error / optimal)
QSHIP04L,402,2118,98,numerical_error,173.530333601,17.46,optimal,2420015.532510785,4.6374859242479296e-08,,0.0865,0.2616403102874756,status differs (numerical_error / optimal)
QSHIP04S,402,1458,98,numerical_error,15249.5020022,17.46,optimal,2424993.6726559564,9.210085248569428e-08,,0.0591,0.5493185520172119,status differs (numerical_error / optimal)
QSHIP08L,778,4283,68990,numerical_error,1696.51231886,11.86,optimal,2376040.6152503253,1.23929412669137e-07,,0.6074,3.7896525859832764,status differs (numerical_error / optimal)
QSHIP08S,778,2387,22816,numerical_error,35582.6965831,15.19,optimal,2385728.8513609655,5.791491552773911e-08,,0.1327,0.632983922958374,status differs (numerical_error / optimal)
QSHIP12L,1151,5427,122433,numerical_error,3713.37359554,10.82,optimal,3018876.5794938654,8.196151622131959e-08,,1.1342,2.8058106899261475,status differs (numerical_error / optimal)
QSHIP12S,1151,2763,33764,numerical_error,24925.4011798,23.12,optimal,3056962.249111162,7.958302653074815e-08,,0.1799,0.6384549140930176,status differs (numerical_error / optimal)
QSIERRA,1227,2036,244,optimal,23750458.182,1.376e-08,optimal,23750458.091199152,8.20860707662185e-05,3.823119692529953e-09,0.0747,0.6833295822143555,agree
QSTAIR,356,467,1970,optimal,7985452.75629,5.559e-09,optimal,7985452.751140995,2.6090500568843234e-07,6.447980467216449e-10,0.0224,3.1212871074676514,agree
QSTANDAT,359,1075,1470,optimal,6411.83868426,4.025e-11,optimal,6411.838400105129,4.854274853492684e-10,4.431031214186841e-08,0.0219,0.3121943473815918,agree
S268,5,5,25,optimal,4.13092493545e-09,0.0,optimal,1.7280399333685637e-10,0.0,3.958120941429164e-09,0.0001,0.00019812583923339844,agree
STADAT1,3999,2001,2000,optimal,-28526743.8285,0.0001712,run time limit reached,,,,0.0598,19.998474836349487,status differs (optimal / run time limit reached)
STADAT2,3999,2001,2000,optimal,-32.6266648617,0.0,run time limit reached,,,,0.0242,19.99847960472107,status differs (optimal / run time limit reached)
STADAT3,7999,4001,4000,optimal,-35.7794529372,0.0,run time limit reached,,,,0.0568,19.99639081954956,status differs (optimal / run time limit reached)
STCQP1,2052,4097,49109,optimal,155143.554709,0.0,optimal,155143.55470395705,5.329070518200751e-15,3.250476388412653e-11,0.0057,0.029430627822875977,agree
STCQP2,2052,4097,49109,optimal,22327.3135284,0.0,optimal,22327.31327241668,7.105427357601002e-15,1.1464516810369186e-08,0.0088,0.06202125549316406,agree
TAME,1,2,4,optimal,0.0,0.0,optimal,0.0,2.220446049250313e-16,0.0,0.0001,0.00012254714965820312,agree
UBH1,12000,18009,6003,optimal,1.12700460787,4.444e-13,optimal,1.1160008156964147,1.512536450254398e-11,0.005200277850537462,0.4919,19.880088329315186,OBJECTIVE MISMATCH
VALUES,1,202,7442,optimal,-1.39662114457,1.121e-16,optimal,-1.3966211447140577,3.4347573780901756e-16,6.010864713089209e-11,0.0021,0.011850118637084961,agree
YAO,2000,2002,2002,optimal,197.70022563,3.281e-11,run time limit reached,,,,0.025,19.998880863189697,status differs (optimal / run time limit reached)
ZECEVIC2,2,2,1,optimal,-4.12499999984,0.0,optimal,-4.125,0.0,3.1219514778235974e-11,0.0001,7.033348083496094e-05,agree
